"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R3","T3",32,2900,-3.79778491281945,-3.90809777346752,-3.68889472172246,-0.868740218811371
"R3","T3",32,3200,-3.6794196124285,-3.79281485109828,-3.5679269385198,-0.868740218811371
"R3","T4",16,680,-4.18149583448365,-4.23997065647992,-4.12157709535542,-0.868740218811371
"R3","T4",16,1500,-3.85796401341504,-3.9108691312848,-3.80386766017214,-0.868740218811371
"R3","T4",16,2900,-3.30559261159058,-3.36726142584672,-3.24482951581553,-0.868740218811371
"R3","T4",16,3200,-3.18722731119962,-3.25283961129996,-3.12219044253114,-0.868740218811371
"R3","T4",23,680,-4.33903491801533,-4.39833552203741,-4.27828167764584,-0.868740218811371
"R3","T4",23,1500,-4.01550309694671,-4.06977155203959,-3.95971441646086,-0.868740218811371
"R3","T4",23,2900,-3.46313169512226,-3.52541820535013,-3.40229517367672,-0.868740218811371
"R3","T4",23,3200,-3.3447663947313,-3.41127782672472,-3.27978338426709,-0.868740218811371
"R3","T4",28,680,-4.45156283482367,-4.51638614931391,-4.38527019311116,-0.868740218811371
"R3","T4",28,1500,-4.12803101375505,-4.1887439194598,-4.06712207014704,-0.868740218811371
"R3","T4",28,2900,-3.5756596119306,-3.64260863055604,-3.5082654450401,-0.868740218811371
"R3","T4",28,3200,-3.45729431153964,-3.5285404909736,-3.38675349362009,-0.868740218811371
"R3","T4",32,680,-4.54158516827034,-4.61320691524332,-4.4695853667885,-0.868740218811371
"R3","T4",32,1500,-4.21805334720173,-4.28550561418077,-4.15156263256123,-0.868740218811371
"R3","T4",32,2900,-3.66568194537727,-3.73966732777697,-3.5929834182879,-0.868740218811371
"R3","T4",32,3200,-3.54731664498631,-3.62449639056227,-3.47098461321456,-0.868740218811371
